ChipID,C_Bake[h],C_Stage,C_Temp,C_Cond,P_DeviceName,P_IREFL_EE,P_IREFH_EE,P_IREFL_FLASH,P_IREFH_FLASH
262702,,-9,35,PR1,1,,,-24,8
271406,,-9,35,PR1,2,,,-24,12
266267,,-9,35,PR1,3,,,-25,13
268350,,-9,35,PR1,4,,,-26,14
269858,,-9,35,PR1,5,,,-25,12
333866,,-9,35,PR1,6,,,-26,12
270370,,-9,35,PR1,7,,,-26,13
267302,,-9,35,PR1,8,,,-24,13
332854,,-9,35,PR1,9,,,-27,15
332322,,-9,35,PR1,10,,,-27,15
332339,,-9,35,PR1,11,,,-25,12
268306,,-9,35,PR1,12,,,-25,13
334346,,-9,35,PR1,13,,,-26,12
334367,,-9,35,PR1,14,,,-27,13
266307,,-9,35,PR1,50,,,-25,11
334390,,-9,35,PR1,15,,,-26,11
264250,,-9,35,PR1,16,,,-26,12
334399,,-9,35,PR1,17,,,-24,13
329766,,-9,35,PR1,18,,,-26,12
333875,,-9,35,PR1,19,,,-26,13
330774,,-9,35,PR1,20,,,-28,14
266806,,-9,35,PR1,21,,,-25,14
332834,,-9,35,PR1,22,,,-27,15
332858,,-9,35,PR1,24,,,-25,13
267843,,-9,35,PR1,25,,,-25,12
332343,,-9,35,PR1,26,,,-26,13
333842,,-9,35,PR1,27,,,-26,11
269850,,-9,35,PR1,28,,,-26,11
265279,,-9,35,PR1,29,,,-27,14
266803,,-9,35,PR1,30,,,-26,12
331286,,-9,35,PR1,31,,,-26,13
266811,,-9,35,PR1,32,,,-27,11
267791,,-9,35,PR1,33,,,-25,11
333379,,-9,35,PR1,34,,,-26,13
335914,,-9,35,PR1,35,,,-27,12
333855,,-9,35,PR1,36,,,-26,13
330278,,-9,35,PR1,37,,,-24,13
267830,,-9,35,PR1,40,,,-25,12
332843,,-9,35,PR1,41,,,-27,13
330782,,-9,35,PR1,42,,,-27,13
334895,,-9,35,PR1,43,,,-26,14
336422,,-9,35,PR1,44,,,-28,13
332842,,-9,35,PR1,45,,,-26,14
335911,,-9,35,PR1,46,,,-28,13
332826,,-9,35,PR1,47,,,-25,15
263714,,-9,35,PR1,48,,,-26,13
331807,,-9,35,PR1,49,,,-27,15
334374,,-9,35,PR1,51,,,-27,14
267267,,-9,35,PR1,53,,,-24,10
331842,,-9,35,PR1,54,,,-28,13
335386,,-9,35,PR1,55,,,-27,13
269863,,-9,35,PR1,56,,,-24,13
268318,,-9,35,PR1,57,,,-26,13
334886,,-9,35,PR1,58,,,-25,12
330786,,-9,35,PR1,59,,,-24,13
268838,,-9,35,PR1,60,,,-25,13
333850,,-9,35,PR1,61,,,-27,14
331786,,-9,35,PR1,63,,,-26,13
332347,,-9,35,PR1,64,,,-28,14
269350,,-9,35,PR1,65,,,-26,13
266778,,-9,35,PR1,66,,,-25,14
270894,,-9,35,PR1,67,,,-28,13
267834,,-9,35,PR1,68,,,-27,13
265743,,-9,35,PR1,69,,,-26,10
334370,,-9,35,PR1,70,,,-26,14
336431,,-9,35,PR1,71,,,-26,13
329778,,-9,35,PR1,72,,,-26,12
332358,,-9,35,PR1,73,,,-24,9
336430,,-9,35,PR1,74,,,-28,13
267279,,-9,35,PR1,75,,,-25,10
