,ChipID,C_Bake[h],C_Stage,C_Temp,C_Cond,P_DeviceName,P_IREFL_EE,P_IREFH_EE,P_IREFL_FLASH,P_IREFH_FLASH
0,331842.0,,-7.0,35.0,PR1,54,-32,32,-26,9
1,331842.0,,-6.0,150.0,PR2,54,-11,11,-28,13
2,331842.0,,-5.0,150.0,PR2,54,-11,32,-14,16
3,331842.0,,-4.0,150.0,PR3,54,-12,13,-14,12
4,331842.0,,-3.0,-40.0,FT1,54,-32,32,-24,8
5,331842.0,,-2.0,-40.0,FT1,54,-31,31,,8
6,331842.0,,-1.0,125.0,FT2,54,-19,19,,
7,331842.0,,0.0,35.0,INIT,,-31,31,,
8,331842.0,,1.0,35.0,RELIABILITY35,54,-31,31,,
9,331842.0,,2.0,150.0,RELIABILITY150,54,-31,31,,
10,331842.0,,3.0,-40.0,RELIABILITYm40,54,-31,31,,
11,331842.0,,4.0,35.0,AFTER_SOLDER,54,-13,13,,
12,331842.0,,5.0,85.0,FL_ENDURANCE85,54,-14,13,-32,17
13,331842.0,,7.0,35.0,AFTER_FL_EDR,54,-13,13,-35,10
14,331842.0,,8.0,35.0,PRG_HTOL,54,-12,13,-38,15
15,331842.0,0.0,9.0,35.0,AFTER_EE_EDR,54,-13,13,-31,17
16,331842.0,0.0,10.0,150.0,AFTER_EE_EDR,54,-16,16,-25,18
17,331842.0,0.0,11.0,-40.0,AFTER_EE_EDR,54,-12,12,-33,14
18,331842.0,20.0,12.0,35.0,HTOL 20h,54,-12,13,-29,17
19,331842.0,500.0,13.0,35.0,HTOL 500h,54,-10,10,-21,17
20,331842.0,500.0,14.0,-40.0,HTOL 500h,54,-9,10,-22,15
21,330786.0,,-7.0,35.0,PR1,59,-32,32,-22,11
22,330786.0,,-6.0,150.0,PR2,59,-8,9,-24,13
23,330786.0,,-5.0,150.0,PR2,59,-8,32,-12,17
24,330786.0,,-4.0,150.0,PR3,59,-11,10,-13,11
25,330786.0,,-3.0,-40.0,FT1,59,-32,32,-20,9
26,330786.0,,-2.0,-40.0,FT1,59,-31,31,,12
27,330786.0,,-1.0,125.0,FT2,59,-19,20,,
28,330786.0,,0.0,35.0,INIT,,-31,31,,
29,330786.0,,1.0,35.0,RELIABILITY35,59,-31,31,,
30,330786.0,,2.0,150.0,RELIABILITY150,59,-31,31,,
31,330786.0,,3.0,-40.0,RELIABILITYm40,59,-31,31,,
32,330786.0,,4.0,35.0,AFTER_SOLDER,59,-15,15,,
33,330786.0,,5.0,85.0,FL_ENDURANCE85,59,-14,14,-25,13
34,330786.0,,7.0,35.0,AFTER_FL_EDR,59,-15,15,-30,9
35,330786.0,,8.0,35.0,PRG_HTOL,59,-14,14,-30,13
36,330786.0,0.0,9.0,35.0,AFTER_EE_EDR,59,-15,14,-28,17
37,330786.0,0.0,10.0,150.0,AFTER_EE_EDR,59,-16,15,-23,18
38,330786.0,0.0,11.0,-40.0,AFTER_EE_EDR,59,-15,13,-26,13
39,330786.0,20.0,12.0,35.0,HTOL 20h,59,-14,13,-27,17
40,330786.0,500.0,13.0,35.0,HTOL 500h,59,-11,11,-21,16
41,330786.0,500.0,14.0,-40.0,HTOL 500h,59,-10,10,-19,14
42,333850.0,,-7.0,35.0,PR1,61,-32,32,-25,11
43,333850.0,,-6.0,150.0,PR2,61,-11,12,-27,14
44,333850.0,,-5.0,150.0,PR2,61,-11,32,-13,17
45,333850.0,,-4.0,150.0,PR3,61,-14,14,-15,13
46,333850.0,,-3.0,-40.0,FT1,61,-32,32,-24,8
47,333850.0,,-2.0,-40.0,FT1,61,-31,31,,12
48,333850.0,,-1.0,125.0,FT2,61,-19,21,,
49,333850.0,,0.0,35.0,INIT,,-31,31,,
50,333850.0,,1.0,35.0,RELIABILITY35,61,-31,31,,
51,333850.0,,2.0,150.0,RELIABILITY150,61,-31,31,,
52,333850.0,,3.0,-40.0,RELIABILITYm40,61,-31,31,,
53,333850.0,,4.0,35.0,AFTER_SOLDER,61,-14,17,,
54,333850.0,,5.0,85.0,FL_ENDURANCE85,61,-13,16,-29,17
55,333850.0,,7.0,35.0,AFTER_FL_EDR,61,-14,17,-34,11
56,333850.0,,8.0,35.0,PRG_HTOL,61,-13,16,-36,15
57,333850.0,0.0,9.0,35.0,AFTER_EE_EDR,61,-13,16,-31,18
58,333850.0,0.0,10.0,150.0,AFTER_EE_EDR,61,-15,17,-25,19
59,333850.0,0.0,11.0,-40.0,AFTER_EE_EDR,61,-13,16,-33,15
60,333850.0,20.0,12.0,35.0,HTOL 20h,61,-12,13,-28,18
61,333850.0,500.0,13.0,35.0,HTOL 500h,61,-10,11,-20,17
62,333850.0,500.0,14.0,-40.0,HTOL 500h,61,-9,10,-24,15
63,334370.0,,-7.0,35.0,PR1,70,-32,32,-24,11
64,334370.0,,-6.0,150.0,PR2,70,-13,14,-26,14
65,334370.0,,-5.0,150.0,PR2,70,-13,32,-12,16
66,334370.0,,-4.0,150.0,PR3,70,-14,14,-13,12
67,334370.0,,-3.0,-40.0,FT1,70,-32,32,-23,9
68,334370.0,,-2.0,-40.0,FT1,70,-31,31,,12
69,334370.0,,-1.0,125.0,FT2,70,-18,19,,
70,334370.0,,0.0,35.0,INIT,,-31,31,,
71,334370.0,,1.0,35.0,RELIABILITY35,70,-31,31,,
72,334370.0,,2.0,150.0,RELIABILITY150,70,-31,31,,
73,334370.0,,3.0,-40.0,RELIABILITYm40,70,-31,31,,
74,334370.0,,4.0,35.0,AFTER_SOLDER,70,-15,14,,
75,334370.0,,5.0,85.0,FL_ENDURANCE85,70,-15,14,-28,16
76,334370.0,,7.0,35.0,AFTER_FL_EDR,70,-15,14,-33,12
77,334370.0,,8.0,35.0,PRG_HTOL,70,-14,13,-35,16
78,334370.0,0.0,9.0,35.0,AFTER_EE_EDR,70,-15,14,-31,17
79,334370.0,0.0,10.0,150.0,AFTER_EE_EDR,70,-16,17,-25,18
80,334370.0,0.0,11.0,-40.0,AFTER_EE_EDR,70,-14,13,-32,14
81,334370.0,20.0,12.0,35.0,HTOL 20h,70,-14,13,-28,18
